P,Variance,Error
0.55,-0.000899571456,0.12820187090180538
0.555,-0.0010957764,0.1305967001830032
0.56,-0.0017407532159999998,0.146331733171796
0.5650000000000001,-0.0019717062559999996,0.1483379452625936
0.5700000000000001,-0.0034497764000000005,0.13945652588852664
0.5750000000000001,-0.0018229979040000003,0.15917213005001118
0.5800000000000001,-0.003238990656,0.1499536879697335
0.5850000000000001,-0.004549057856,0.1551919501988119
0.5900000000000001,-0.004446535184000001,0.16442809318459753
0.5950000000000001,-0.009545596944,0.1834542076948522
0.6000000000000001,-0.026236096656,0.19268197763796524
0.6050000000000001,-0.036914681664,0.1831605936693185
0.6100000000000001,-0.045562561344000004,0.19125027298667074
0.6150000000000001,-0.059529732864000005,0.19321281320084877
0.6200000000000001,-11.556065118096,0.16009209579031952
0.6250000000000001,-24.3371515584,0.1434626503727627
0.6300000000000001,-50.61225386369599,0.10827845092499698
0.6350000000000001,-86.16789945958399,0.07918377072221591
0.6400000000000001,-111.78010908345601,0.05969035042263238
0.6450000000000001,-146.15281535438402,0.03965032813694121
0.6500000000000001,-179.0933474564,0.04080310958433936
0.6550000000000001,-210.87955471641598,0.030652817044466634
0.6600000000000001,-247.177284959376,0.02835489074102616
0.6650000000000001,-280.081278439424,0.023859673415275777
0.6700000000000002,-315.81871934926403,0.018704319434167737
0.6750000000000002,-349.740317017104,0.01749693462220413
0.6800000000000002,-385.80633550593603,0.016998136863274567
0.6850000000000002,-417.49333121433597,0.014937961982814395
0.6900000000000002,-452.51405086439996,0.013805745852891769
0.6950000000000002,-489.953166772544,0.01298229342441934
